,NIS,area
0,01000,30689369338.7
1,04000,162419850.43
2,03000,16901399870.7
3,02000,13625549617.5
4,10000,2876120659.81
5,70000,2427428794.84
6,40000,3007075802.27
7,20001,2118348301.85
8,30000,3196576058.75
9,20002,1097179855.32
10,50000,3813035462.28
11,60000,3857112494.38
12,80000,4459250150.65
13,90000,3674821908.1
14,81000,318873347.975
15,82000,1046625824.22
16,83000,958051388.481
17,84000,1358428470.29
18,85000,777271119.689
19,91000,1596278574.84
20,92000,1167705413.73
21,93000,910837919.532
22,21000,162419850.43
23,11000,1004125404.54
24,12000,511925631.516
25,13000,1360069623.76
26,71000,883879624.001
27,72000,910433254.245
28,73000,633115916.59
29,42000,346558038.644
30,43000,335520069.54
31,45000,422874967.226
32,23000,949168799.483
33,31000,673222590.914
34,33000,553716496.457
35,35000,304592812.701
36,37000,331853492.232
37,38000,288173566.046
38,25000,1097179855.32
39,51000,671836652.631
40,52000,475946892.491
41,53000,588510867.753
42,55000,357624264.618
43,56000,785029603.233
44,57000,714627678.953
45,61000,661195149.795
46,62000,795966203.323
47,63000,2009570933.94
48,64000,390380207.325
49,41000,472934475.215
50,44000,949673947.413
51,46000,479514304.23
52,24000,1169179502.36
53,32000,365039182.657
54,34000,406143132.663
55,36000,273834785.082
56,58000,219459502.601
57,83034,122072288.78
58,23027,44982125.629
59,91103,65658756.1399
60,91034,100055986.516
61,82037,165360011.727
62,91072,122840199.482
63,91142,56594101.8962
64,82014,167403402.131
65,56029,86543295.829
66,91114,166336667.518
67,93010,83441658.0524
68,83031,148526786.856
69,56088,73572595.938
70,93018,84120120.9494
71,91013,174650390.118
72,93014,206981495.726
73,56016,198571664.381
74,84075,67891737.3319
75,93090,121123658.745
76,84059,111970337.773
77,91054,151573350.236
78,84077,179184586.293
79,82036,135728169.445
80,82009,74807294.455
81,84009,138501541.484
82,91143,101465824.544
83,84043,114481377.492
84,84033,173703175.53
85,84010,148642044.558
86,81013,29987918.8764
87,84029,58416628.6689
88,81003,71084168.8287
89,85007,114044719.636
90,85046,103530054.759
91,85039,81839258.9968
92,81001,119062604.292
93,85034,36250615.973
94,85045,95625259.6376
95,85047,28101305.6156
96,21009,6406490.66584
97,21014,1177168.13817
98,21017,12976961.8618
99,21012,6005550.44485
100,21013,2526950.36978
101,21019,8940411.90702
102,21018,7296984.03668
103,41034,29896277.0182
104,71024,43037215.6979
105,84050,111272737.385
106,46021,84193519.3326
107,72030,87238435.5605
108,12007,46256191.031
109,42008,40524101.3493
110,36008,25635639.9852
111,36007,16426568.6712
112,23047,11494227.0637
113,23094,27726863.8854
114,71017,56342073.3707
115,57018,67483079.938
116,63003,18833697.5963
117,64029,23604958.1514
118,62118,34172209.377
119,63012,150661481.279
120,13014,105394447.79
121,13035,95137841.741
122,11016,47568999.7006
123,13002,7415271.36047
124,11053,89407739.245
125,13023,44616108.7569
126,13037,46852293.2824
127,11002,204293147.168
128,31043,61584469.0255
129,13031,39169192.6466
130,46003,152687949.044
131,31004,19021550.4611
132,11057,51896249.6021
133,13025,114547324.624
134,31006,90359998.0644
135,72037,43729251.6716
136,11040,29493559.9902
137,13036,48501739.1947
138,13017,72265910.6337
139,61041,40408421.6844
140,52011,102949318.315
141,72020,102284240.796
142,13006,27447129.9307
143,35002,14251719.8367
144,11056,20241469.7812
145,13044,27621334.9851
146,46024,45268852.6329
147,13003,72985640.3841
148,35005,42804234.7123
149,13001,55148203.4563
150,43010,95632953.9145
151,31012,53859920.2912
152,11050,7890891.21289
153,11035,43675149.7311
154,35014,35620622.2214
155,72003,59285210.3567
156,44045,37927458.5865
157,43005,30449107.804
158,43018,13763414.7342
159,44019,75398218.6953
160,46013,33527714.5121
161,11004,20710001.4795
162,11029,7784322.43839
163,72038,76676417.5847
164,46025,40100034.2399
165,38016,33272389.2734
166,13012,23610234.7151
167,11018,5479275.77203
168,38014,50357246.3234
169,71034,22591413.656
170,71069,32792518.0523
171,32010,39444555.1176
172,11038,7774399.05491
173,32003,150763281.185
174,11037,20134230.433
175,85011,148114204.316
176,85009,79419231.6585
177,85024,54975418.6363
178,21015,7898041.63754
179,21016,22865182.0915
180,21007,6304055.05718
181,12009,22604825.1848
182,71004,78561370.4033
183,72039,78216744.5857
184,37012,30620666.1927
185,13013,52377407.7799
186,12035,36154965.3232
187,12029,35158118.8233
188,42010,32578368.8164
189,36011,26159523.3642
190,42006,56535599.0257
191,38002,80708511.8185
192,71037,53703912.5082
193,21003,2947758.02494
194,35006,45776756.3051
195,11021,6018076.92941
196,13021,36536326.8836
197,11001,11015545.4754
198,44034,60664134.4195
199,41027,47900989.2999
200,41024,30525967.0713
201,73001,28235196.2706
202,34025,13268823.6905
203,24137,26984598.1131
204,73032,30103342.8051
205,23016,41479990.8421
206,45061,42458549.9251
207,24130,46842609.731
208,21008,2433688.71577
209,34022,80696258.3106
210,24016,31145373.7417
211,41048,73118374.4576
212,34002,42353566.7855
213,13049,55396920.4933
214,12002,24514270.7415
215,12014,86678003.1828
216,38008,26627702.9585
217,13053,42429453.3203
218,31033,45335237.6849
219,24107,72771087.8407
220,33029,43773917.9755
221,21001,17912063.6629
222,73066,58053997.5857
223,21005,3175346.5738
224,23104,31124094.4333
225,34027,33163563.8977
226,41018,80052727.8883
227,23077,40664373.244
228,34003,22121732.2397
229,62011,38213244.6616
230,45060,30630782.9288
231,23098,2495511.51756
232,25005,38568802.0141
233,24059,53301357.4159
234,31005,140992133.419
235,11008,38580649.6181
236,13046,11835077.8461
237,13019,59625137.2632
238,31042,48908342.287
239,11054,40081996.0217
240,11024,23801454.2322
241,35029,46138744.4356
242,43014,74535478.1866
243,45041,34708378.1648
244,23033,20530436.3836
245,23003,30401599.4418
246,51017,45105620.0654
247,23101,22754807.6877
248,25118,16982579.995
249,63040,18005713.5168
250,62027,36110948.2591
251,23032,44660395.2165
252,62060,35471632.6648
253,64047,14732962.8067
254,64056,19497942.4249
255,62006,27217728.4604
256,51065,112873906.617
257,25014,52314551.3604
258,43002,87500150.6065
259,44073,34636892.442
260,35011,79048312.2062
261,64074,30893554.7727
262,57062,33142757.2007
263,25119,47570314.1448
264,64034,86490817.6648
265,63084,24815807.2496
266,62051,23358405.7749
267,64063,22826130.6347
268,64025,19440729.8434
269,63023,95991369.3334
270,25084,51170150.1364
271,62099,27194674.6829
272,24134,51149801.5534
273,21011,1187736.46427
274,21002,8971973.95036
275,13010,28370110.5539
276,25124,38080690.4345
277,25068,18724449.9512
278,11007,3901260.78268
279,13029,23128348.2671
280,44084,119852713.22
281,12041,49144700.8985
282,51067,39403300.1705
283,51068,68574769.5461
284,72018,54802001.5228
285,44021,157742379.78
286,62038,13681924.4307
287,44085,80779525.3975
288,72042,116367410.614
289,72043,83777956.3931
290,12026,39205000.0754
291,31040,60643710.1751
292,42004,25636589.1684
293,37011,34682489.0811
294,56005,93487157.9641
295,24001,63035307.2709
296,23039,15367424.8917
297,44043,37001349.9923
298,32030,63401243.0391
299,71016,87587345.0371
300,24048,18523611.446
301,73107,76849338.528
302,23096,43228720.501
303,23050,35069132.0649
304,24014,18778792.0689
305,36015,60399422.5124
306,24033,30725331.6487
307,23060,19919062.4528
308,83040,113108496.232
309,83049,91945411.8784
310,82003,173032635.027
311,82005,91666345.3801
312,84068,56967554.8462
313,82038,97939617.0945
314,37002,26089658.0085
315,37007,29505363.6059
316,24008,37280802.8375
317,37010,16723823.9489
318,33040,53058576.8401
319,24135,44527125.8338
320,23081,23631683.2352
321,41082,34404904.5137
322,73042,58959863.7242
323,33021,120367869.422
324,23002,50221672.2594
325,24062,57507540.129
326,36012,35447385.7222
327,23105,17922602.7137
328,24028,35517710.0314
329,84016,56849060.0286
330,71045,22509279.1244
331,23044,10174617.3515
332,34043,10815558.0034
333,62119,26074837.4686
334,57081,215340535.788
335,61081,37252003.2909
336,52010,18189541.7746
337,92097,56670728.9633
338,61024,27741517.3132
339,61012,79496004.4798
340,53065,11209200.1331
341,52018,10371591.7689
342,52012,27361580.7119
343,83012,157079513.158
344,92048,63306923.918
345,53020,33625278.7033
346,91064,104749241.483
347,63001,125935848.507
348,53084,65400745.7443
349,53083,44314599.4059
350,63088,53194493.8916
351,25112,42104897.3795
352,62079,36089741.8629
353,25050,15516853.551
354,51069,72667741.6786
355,25091,17560510.8067
356,92087,116953531.825
357,52025,47675448.0575
358,56078,76689257.8486
359,91141,57079171.004
360,63067,147146638.518
361,91005,66028439.216
362,82032,140688348.957
363,56022,44548404.8749
364,83013,78892591.1474
365,93088,123645016.669
366,83028,57023190.341
367,93022,134183553.93
368,61019,57072880.3171
369,53028,26090983.7176
370,83055,120171336.562
371,11044,21444972.5757
372,35013,40952422.9834
373,72021,77184848.2709
374,44083,128027332.493
375,24055,34702228.727
376,34041,39137355.9158
377,25120,50798030.3147
378,73083,87812522.5978
379,57096,40619439.0858
380,64008,14507282.0317
381,63004,85553272.3425
382,64015,44040047.1052
383,61003,27685981.9013
384,61079,37316683.0949
385,53082,13745629.2123
386,91030,147869928.584
387,21004,33075852.163
388,12021,49852446.2617
389,63061,72803778.3599
390,11022,59409138.6751
391,13004,37353001.4708
392,13008,110267426.185
393,37018,68544035.8262
394,42003,38226767.5704
395,71066,39674376.2945
396,45068,71589127.8856
397,21010,5189035.40509
398,34042,63603617.1568
399,73022,53059637.4231
400,73028,1347365.24589
401,64076,28526839.8363
402,55085,63817197.6372
403,52015,44532724.4069
404,56001,17181517.9238
405,63045,92331539.5799
406,85026,35371050.4594
407,11009,91451099.1839
408,11052,12990623.5929
409,44013,26710272.9648
410,41002,78654266.331
411,24066,45274980.282
412,45064,46152955.8334
413,25110,21324366.2179
414,23009,19241472.0806
415,62003,23346255.3439
416,57027,32100919.7933
417,25018,48325528.2861
418,25123,39256589.2498
419,64021,16976954.6323
420,63020,13976881.2587
421,61031,47641161.9896
422,91120,95235950.4401
423,56051,86005483.9374
424,11025,5651612.12015
425,13040,56710275.232
426,13011,47949951.5895
427,11030,5320951.027
428,44040,15338703.0233
429,24038,32734100.2154
430,24009,29990605.254
431,62108,27725330.3388
432,25105,32771601.5575
433,57094,74465060.5697
434,63035,56860118.7886
435,63089,28645821.0278
436,25122,49077338.0828
437,25121,33400330.0561
438,62063,68653839.7488
439,64023,23450161.1533
440,25023,26875454.4852
441,62093,6905787.1197
442,92035,103216511.772
443,61063,24400251.35
444,63079,33000886.3871
445,25072,60832719.7728
446,62120,36567688.7897
447,61068,32858402.7358
448,92138,65831843.1303
449,53046,49835818.8299
450,63058,24886047.3265
451,92142,96477468.593
452,63038,106941867.587
453,25107,48030878.0611
454,62032,34148511.8637
455,55004,84870491.6044
456,63046,24647033.176
457,25031,90349739.89
458,23045,36528470.0254
459,24007,17655191.3812
460,37020,34928707.8592
461,63080,97537961.2468
462,57064,61028023.4402
463,63076,83481011.5093
464,62121,31742516.4496
465,57093,46563298.7894
466,52055,56101527.7319
467,53044,58177242.6168
468,55035,43412734.6844
469,52021,59490741.869
470,92003,86138387.1631
471,62009,79941352.2961
472,58001,64558435.827
473,63072,39830232.5759
474,51009,43810966.8097
475,92140,46962383.0335
476,42025,37015893.4882
477,24109,21907645.0133
478,36006,38105979.5394
479,42011,27305117.1144
480,32006,55996145.2416
481,36019,46830555.5527
482,63049,100389122.642
483,53014,20076019.1405
484,83044,69231773.5264
485,81004,46116277.16
486,11023,37220806.7852
487,43007,33638964.2939
488,44012,17781445.0349
489,34013,29395931.2347
490,73109,50608358.4828
491,25043,38908088.3671
492,62022,25433120.0316
493,92137,34259487.031
494,46020,55489375.8567
495,71020,36597700.6107
496,23052,36901968.362
497,23025,38669855.3278
498,44081,32761171.1118
499,71067,32108532.5129
500,44052,43568809.5903
501,23038,33649589.8913
502,33041,38575616.6772
503,24043,38775077.2824
504,44020,31596869.1803
505,71011,41414404.9101
506,37017,21913652.3389
507,33011,131460965.199
508,33037,68090922.9907
509,24054,49444279.3834
510,23102,8772928.11913
511,41081,57464624.5646
512,63073,85121064.217
513,61048,40241361.8767
514,63075,108560010.471
515,53039,26407985.0088
516,92054,65007598.4225
517,52022,28647889.6069
518,52074,22424806.2799
519,58003,73293142.4336
520,53068,21483764.3975
521,92006,78547263.6251
522,92101,50392380.7319
523,63086,68846998.9826
524,91059,76586768.5136
